City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,69.57,59,0,21.23,clear sky
1,Kaitangata,NZ,-46.2817,169.8464,36.43,80,100,14.61,overcast clouds
2,Albany,US,42.6001,-73.9662,63.88,79,100,3.71,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,60.89,65,0,7.0,clear sky
4,Vila Velha,BR,-20.3297,-40.2925,76.95,83,75,8.05,broken clouds
5,Hobart,AU,-42.8794,147.3294,48.25,84,75,9.22,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,53.71,43,75,16.11,broken clouds
7,Ahipara,NZ,-35.1667,173.1667,52.83,70,100,19.08,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,82.4,73,100,17.56,overcast clouds
9,Alto Araguaia,BR,-17.3147,-53.2153,80.17,60,87,4.97,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,37.92,65,75,12.66,broken clouds
11,Ofeherto,HU,47.9333,22.05,52.74,67,100,6.73,overcast clouds
12,Miramar,US,25.9873,-80.2323,86.02,62,75,13.8,broken clouds
13,Georgetown,MY,5.4112,100.3354,77.95,95,40,3.44,scattered clouds
14,Ust-Omchug,RU,61.15,149.6333,10.81,97,100,2.66,overcast clouds
15,Shebalino,RU,51.2917,85.6772,40.48,74,100,3.2,overcast clouds
16,Castro,BR,-24.7911,-50.0119,76.1,57,100,4.29,overcast clouds
17,Husavik,IS,66.0449,-17.3389,36.79,97,100,36.55,overcast clouds
18,Fairbanks,US,64.8378,-147.7164,45.23,87,100,0.0,overcast clouds
19,Thompson,CA,55.7435,-97.8558,32.16,69,75,18.41,broken clouds
20,Vaini,TO,-21.2,-175.2,76.51,86,100,13.96,light rain
21,Adre,TD,13.4667,22.2,79.95,49,37,4.83,scattered clouds
22,Gornozavodsk,RU,58.3758,58.3211,43.07,61,100,5.55,overcast clouds
23,Bluff,NZ,-46.6,168.3333,36.81,73,96,21.3,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,51.46,43,40,11.5,scattered clouds
25,Remontnoye,RU,46.5614,43.6501,57.43,69,81,6.76,broken clouds
26,Kudahuvadhoo,MV,2.6708,72.8944,81.1,78,100,17.16,overcast clouds
27,Atuona,PF,-9.8,-139.0333,77.27,70,0,15.73,clear sky
28,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,24,20,24.16,few clouds
29,Grand Gaube,MU,-20.0064,57.6608,72.0,71,55,4.0,broken clouds
30,Yulara,AU,-25.2406,130.9889,66.02,30,0,4.76,clear sky
31,Jamestown,US,42.097,-79.2353,66.06,43,0,11.5,clear sky
32,Ronne,DK,55.1009,14.7066,58.91,82,100,9.22,overcast clouds
33,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,82,100,4.61,overcast clouds
34,Butaritari,KI,3.0707,172.7902,81.64,72,6,20.2,clear sky
35,Vernon,CA,50.2581,-119.2691,80.13,37,9,2.3,clear sky
36,Tilichiki,RU,60.4667,166.1,32.13,78,2,17.49,clear sky
37,Nanortalik,GL,60.1432,-45.2371,37.9,87,49,13.6,scattered clouds
38,Lorengau,PG,-2.0226,147.2712,81.55,77,36,10.85,scattered clouds
39,Provideniya,RU,64.3833,-173.3,39.45,96,100,14.38,overcast clouds
40,Upata,VE,8.0086,-62.3989,80.19,85,98,4.81,overcast clouds
41,Cidreira,BR,-30.1811,-50.2056,65.07,74,41,15.97,scattered clouds
42,Qaanaaq,GL,77.484,-69.3632,8.35,74,74,7.56,broken clouds
43,East London,ZA,-33.0153,27.9116,66.54,83,100,9.71,overcast clouds
44,Lebu,CL,-37.6167,-73.65,54.99,68,100,10.45,overcast clouds
45,Avarua,CK,-21.2078,-159.775,77.05,69,40,19.57,scattered clouds
46,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,84,11.03,broken clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,81,5.01,broken clouds
48,Hilo,US,19.7297,-155.09,85.28,74,40,3.44,scattered clouds
49,Hermanus,ZA,-34.4187,19.2345,56.8,81,0,11.92,clear sky
50,Baykit,RU,61.67,96.37,30.94,98,100,2.53,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,73.71,90,100,6.46,overcast clouds
52,Wanaka,NZ,-44.7,169.15,32.11,75,67,1.01,broken clouds
53,Colac,AU,-38.3333,143.5833,53.83,97,100,11.12,overcast clouds
54,Mataura,NZ,-46.1927,168.8643,36.48,86,100,7.2,overcast clouds
55,Mahon,ES,39.8885,4.2658,70.36,73,20,5.75,few clouds
56,Cherskiy,RU,68.75,161.3,22.39,78,100,7.72,overcast clouds
57,Faya,SA,18.3851,42.4509,72.12,30,47,9.69,scattered clouds
58,Hofn,IS,64.2539,-15.2082,44.67,57,1,11.36,clear sky
59,Preston,GB,53.7667,-2.7167,55.22,71,40,19.57,scattered clouds
60,Chapais,CA,49.7834,-74.8492,56.98,88,100,7.76,overcast clouds
61,Port Elizabeth,ZA,-33.918,25.5701,61.32,85,40,9.22,scattered clouds
62,Kontagora,NG,10.3999,5.4695,76.64,83,91,1.63,light rain
63,Robertsport,LR,6.7533,-11.3686,80.01,83,100,7.85,overcast clouds
64,Batemans Bay,AU,-35.7167,150.1833,57.09,95,100,10.96,light rain
65,Kavieng,PG,-2.5744,150.7967,82.17,77,100,13.62,overcast clouds
66,Lebyazhye,RU,55.2689,66.4947,46.44,36,100,8.86,overcast clouds
67,Kapaa,US,22.0752,-159.319,80.58,87,100,5.75,light rain
68,Port Alfred,ZA,-33.5906,26.891,62.19,89,90,4.0,overcast clouds
69,Kodiak,US,57.79,-152.4072,53.11,87,100,24.16,light rain
70,Mirnyy,RU,62.5353,113.9611,30.24,74,95,18.01,overcast clouds
71,Cabo San Lucas,MX,22.8909,-109.9124,90.61,54,0,4.61,clear sky
72,San Jose De Guanipa,VE,8.8872,-64.1651,85.78,61,100,6.49,overcast clouds
73,Maldonado,UY,-34.6667,-54.9167,72.79,52,30,13.09,scattered clouds
74,Namibe,AO,-15.1961,12.1522,64.36,85,81,2.89,broken clouds
75,San Fernando,PH,15.0286,120.6898,82.13,89,89,4.03,overcast clouds
76,Saint George,US,37.1041,-113.5841,82.8,24,0,3.44,clear sky
77,Rockland,US,41.1668,-74.0496,60.78,94,100,6.4,light rain
78,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,92.52,35,32,10.4,scattered clouds
79,Pokhara,NP,28.2333,83.9833,67.21,91,100,1.5,light rain
80,Skjold,DK,55.7971,9.9397,58.39,82,100,25.19,overcast clouds
81,Clyde River,CA,70.4692,-68.5914,26.83,74,100,19.57,overcast clouds
82,El Angel,EC,0.6167,-77.9333,59.88,70,93,1.43,moderate rain
83,Broome,US,42.2506,-75.833,71.37,50,20,8.05,few clouds
84,Redmond,US,47.674,-122.1215,64.87,55,89,4.07,overcast clouds
85,Dom Pedrito,BR,-30.9828,-54.6731,74.73,51,100,8.81,overcast clouds
86,Olga,RU,43.7444,135.2892,33.35,57,7,6.08,clear sky
87,Jacareacanga,BR,-6.2222,-57.7528,96.44,33,99,3.62,overcast clouds
88,Meulaboh,ID,4.1363,96.1285,74.25,93,100,3.71,overcast clouds
89,Gwadar,PK,25.1216,62.3254,79.21,83,0,9.08,clear sky
90,Norman Wells,CA,65.282,-126.8329,42.84,75,40,13.8,scattered clouds
91,Tocopilla,CL,-22.092,-70.1979,64.83,61,21,11.07,few clouds
92,Bom Jesus,BR,-9.0744,-44.3586,102.0,14,6,9.51,clear sky
93,Muros,ES,42.7762,-9.0603,68.16,82,98,12.68,overcast clouds
94,Hami,CN,42.8,93.45,53.02,50,0,4.16,clear sky
95,Riyadh,SA,24.6877,46.7219,82.54,14,0,3.65,clear sky
96,Ostrovnoy,RU,68.0531,39.5131,46.96,91,100,13.42,overcast clouds
97,Tuatapere,NZ,-46.1333,167.6833,36.93,83,100,14.94,overcast clouds
98,Gaoual,GN,11.75,-13.2,78.4,88,90,3.62,light rain
99,Mar Del Plata,AR,-38.0023,-57.5575,60.82,87,100,10.36,light rain
100,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,18.41,few clouds
101,Victoria,HK,22.2855,114.1577,83.32,79,26,11.01,scattered clouds
102,Busselton,AU,-33.65,115.3333,49.48,60,18,9.91,few clouds
103,Bengkulu,ID,-3.8004,102.2655,76.17,84,100,3.38,heavy intensity rain
104,Mantua,IT,45.1667,10.7833,67.24,82,30,2.3,scattered clouds
105,Coihaique,CL,-45.5752,-72.0662,51.75,54,100,5.75,overcast clouds
106,Ilulissat,GL,69.2167,-51.1,28.42,64,20,3.44,few clouds
107,Constitucion,CL,-35.3333,-72.4167,57.97,70,1,14.32,clear sky
108,La Ronge,CA,55.1001,-105.2842,43.02,45,40,6.91,scattered clouds
109,Uige,AO,-7.6087,15.0613,69.87,90,100,2.98,moderate rain
110,Tarsus,TR,36.9188,34.8784,77.38,75,0,3.47,clear sky
111,Kapchorwa,UG,1.3965,34.4509,57.76,85,64,4.18,broken clouds
112,Elizabeth City,US,36.2946,-76.2511,60.82,88,100,11.5,overcast clouds
113,Dourbali,TD,11.8091,15.8632,82.08,66,87,5.26,light rain
114,Tiarei,PF,-17.5333,-149.3333,80.62,73,2,26.73,clear sky
115,Lasa,IT,46.6166,10.7002,58.08,83,33,2.59,scattered clouds
116,Maniitsoq,GL,65.4167,-52.9,34.29,55,13,2.77,few clouds
117,Noyabrsk,RU,63.1994,75.4507,32.97,85,82,4.16,broken clouds
118,Beloha,MG,-25.1667,45.05,69.06,88,0,4.92,clear sky
119,Okhotsk,RU,59.3833,143.3,29.7,56,100,9.6,overcast clouds
120,San Cristobal,VE,7.7669,-72.225,80.78,81,100,1.14,overcast clouds
121,Atar,MR,20.5169,-13.0499,99.7,12,17,17.81,few clouds
122,Sembe,CG,1.6481,14.5806,70.93,95,92,2.39,overcast clouds
123,Panalingaan,PH,8.7842,117.4231,78.84,86,100,1.63,overcast clouds
124,Pitea,SE,65.3172,21.4794,48.29,99,100,3.83,overcast clouds
125,Kalmunai,LK,7.4167,81.8167,80.01,78,100,2.57,overcast clouds
126,Mahebourg,MU,-20.4081,57.7,71.89,73,40,8.05,scattered clouds
127,Clinton,US,42.587,-82.9199,78.96,54,75,6.91,broken clouds
128,Nago,JP,26.5881,127.9761,77.45,84,21,8.37,few clouds
129,Tiznit,MA,29.5833,-9.5,71.73,57,11,3.85,few clouds
130,Nikolskoye,RU,59.7035,30.7861,46.8,93,100,5.32,overcast clouds
131,Bundaberg,AU,-24.85,152.35,61.21,92,65,1.01,broken clouds
132,Bubaque,GW,11.2833,-15.8333,82.38,75,10,8.12,clear sky
133,Lata,PT,40.1629,-8.3327,67.91,74,0,3.18,clear sky
134,Bowen,AU,-20.0167,148.2333,72.68,78,34,11.18,scattered clouds
135,Pochutla,MX,15.7432,-96.4661,88.83,61,59,6.35,broken clouds
136,Narsaq,GL,60.9167,-46.05,39.42,92,100,11.03,overcast clouds
137,Saldanha,ZA,-33.0117,17.9442,57.25,77,1,9.28,clear sky
138,Constantine,DZ,36.365,6.6147,65.61,82,75,3.44,broken clouds
139,Indiana,US,40.0003,-86.2503,77.67,25,0,3.44,clear sky
140,Geraldton,AU,-28.7667,114.6,54.01,87,75,6.91,broken clouds
141,Saint-Joseph,RE,-21.3667,55.6167,70.18,77,32,10.29,scattered clouds
142,Sitka,US,57.0531,-135.33,60.69,77,100,17.27,light rain
143,Lang Son,VN,21.8333,106.7333,71.17,91,5,1.43,clear sky
144,Khatanga,RU,71.9667,102.5,6.4,99,84,3.0,broken clouds
145,Coquimbo,CL,-29.9533,-71.3436,64.13,59,20,16.11,few clouds
146,Humaita,BR,-7.5061,-63.0208,99.36,29,83,3.29,broken clouds
147,Panjab,AF,34.388,67.0233,41.02,34,0,5.88,clear sky
148,Manitouwadge,CA,49.1215,-85.8403,57.15,93,98,6.33,overcast clouds
149,Hobyo,SO,5.3505,48.5268,77.11,87,51,19.91,broken clouds
150,Mocuba,MZ,-16.8392,36.9856,75.04,65,0,6.76,clear sky
151,Pashiya,RU,58.4324,58.2562,42.26,64,100,5.57,overcast clouds
152,Henties Bay,NA,-22.116,14.2845,54.79,93,5,9.48,clear sky
153,Brooks,CA,50.5834,-111.8851,64.38,42,100,6.91,overcast clouds
154,Kasempa,ZM,-13.4584,25.8338,71.94,20,7,6.29,clear sky
155,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,12.66,mist
156,Altagracia De Orituco,VE,9.8601,-66.3814,82.51,75,99,1.45,overcast clouds
157,Talnakh,RU,69.4865,88.3972,23.52,94,87,3.69,overcast clouds
158,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,10.36,broken clouds
159,Hamilton,US,39.1834,-84.5333,78.21,29,0,10.36,clear sky
160,Ust-Tsilma,RU,65.441,52.1498,44.78,91,100,6.4,overcast clouds
161,Upernavik,GL,72.7868,-56.1549,19.15,79,56,5.12,broken clouds
162,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,78,100,10.36,overcast clouds
163,Yabelo,ET,4.8833,38.0833,62.24,69,96,5.26,light rain
164,Isangel,VU,-19.55,169.2667,66.31,94,29,3.44,scattered clouds
165,Haradok,BY,55.4624,29.9816,48.31,98,100,6.93,overcast clouds
166,Oistins,BB,13.0667,-59.5333,80.69,83,75,24.16,light rain
167,Flinders,AU,-34.5833,150.8552,58.37,92,100,3.0,light rain
168,Pevek,RU,69.7008,170.3133,28.96,81,100,9.51,overcast clouds
169,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,53,10.0,broken clouds
170,Lavrentiya,RU,65.5833,-171.0,38.43,90,100,23.24,overcast clouds
171,Takaungu,KE,-3.6837,39.8566,75.2,87,6,13.47,clear sky
172,Erenhot,CN,43.6475,111.9767,40.53,22,100,6.04,overcast clouds
173,Valparaiso,CL,-33.0393,-71.6273,64.63,86,40,11.5,scattered clouds
174,Tasiilaq,GL,65.6145,-37.6368,33.96,62,72,5.26,broken clouds
175,Bredasdorp,ZA,-34.5322,20.0403,51.37,90,0,5.28,clear sky
176,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,3.44,few clouds
