City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
8,Hithadhoo,MV,82.4,overcast clouds,-0.6,73.0833,Scoop Guest House
9,Alto Araguaia,BR,80.17,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
12,Miramar,US,86.02,broken clouds,25.9873,-80.2323,Stadium Hotel
13,Georgetown,MY,77.95,scattered clouds,5.4112,100.3354,Cititel Penang
16,Castro,BR,76.1,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
20,Vaini,TO,76.51,light rain,-21.2,-175.2,Keleti Beach Resort
21,Adre,TD,79.95,scattered clouds,13.4667,22.2,
26,Kudahuvadhoo,MV,81.1,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
27,Atuona,PF,77.27,clear sky,-9.8,-139.0333,Villa Enata
34,Butaritari,KI,81.64,clear sky,3.0707,172.7902,Isles Sunset Lodge
35,Vernon,CA,80.13,clear sky,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
38,Lorengau,PG,81.55,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
40,Upata,VE,80.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
45,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
46,Sao Joao Da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
47,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Kontagora,NG,76.64,light rain,10.3999,5.4695,Queens Guest Inn
63,Robertsport,LR,80.01,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
65,Kavieng,PG,82.17,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
67,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,San Jose De Guanipa,VE,85.78,overcast clouds,8.8872,-64.1651,Hotel Kariña Guanipa
75,San Fernando,PH,82.13,overcast clouds,15.0286,120.6898,Maharlika Hostel
76,Saint George,US,82.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
89,Gwadar,PK,79.21,clear sky,25.1216,62.3254,Sadaf Resort
95,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
98,Gaoual,GN,78.4,light rain,11.75,-13.2,Hotel koliba
101,Victoria,HK,83.32,scattered clouds,22.2855,114.1577,Mini Central
103,Bengkulu,ID,76.17,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
110,Tarsus,TR,77.38,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
113,Dourbali,TD,82.08,light rain,11.8091,15.8632,
114,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
120,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
123,Panalingaan,PH,78.84,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
125,Kalmunai,LK,80.01,overcast clouds,7.4167,81.8167,VS Villa
127,Clinton,US,78.96,broken clouds,42.586999999999996,-82.9199,River's Edge
128,Nago,JP,77.45,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
132,Bubaque,GW,82.38,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
135,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
139,Indiana,US,77.67,clear sky,40.0003,-86.2503,
149,Hobyo,SO,77.11,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
150,Mocuba,MZ,75.04,clear sky,-16.8392,36.9856,Phama Lodge
156,Altagracia De Orituco,VE,82.51,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
159,Hamilton,US,78.21,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
166,Oistins,BB,80.69,light rain,13.0667,-59.5333,Butterfly Beach Hotel
171,Takaungu,KE,75.2,clear sky,-3.6837,39.8566,Takaungu House
176,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
178,Dawei,MM,75.34,light rain,14.0833,98.2,Hotel Dawei
180,Tautira,PF,76.42,few clouds,-17.7333,-149.15,Pension Oaoa
182,Marzuq,YE,75.4,broken clouds,14.4,46.4667,حيد القفلة
185,Lompoc,US,88.02,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
190,Pemangkat,ID,76.8,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
193,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
195,Dickinson,US,89.08,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
197,Puerto Colombia,CO,84.29,broken clouds,10.9878,-74.9547,Hotel El Emigrante
201,Trairi,BR,82.85,scattered clouds,-3.2778,-39.2689,janelas do mar
210,Turayf,SA,79.05,clear sky,31.6725,38.6637,Al Mudawah Hotel
217,Lexington,US,75.2,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
219,Yaguajay,CU,83.53,clear sky,22.3272,-79.2378,Hostal La Terraza
222,Luganville,VU,77.94,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
225,Thinadhoo,MV,81.93,overcast clouds,0.5333,72.9333,
237,Lazaro Cardenas,MX,84.81,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
242,Galle,LK,77.27,light rain,6.0367,80.217,Amangalla
243,San Buenaventura,MX,80.47,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
250,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
255,Porto Novo,BJ,80.42,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
259,Faanui,PF,77.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
262,Panaba,MX,89.65,clear sky,21.2833,-88.2667,Hotel Don Fernando
267,Gamba,GA,75.74,broken clouds,-2.65,10.0,
273,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
274,Bhindar,IN,76.57,broken clouds,24.5,74.1833,Hotel Rajmahal Bhindar
276,Qandala,SO,86.07,broken clouds,11.472000000000001,49.8728,
278,Morro Bay,US,88.93,few clouds,35.3658,-120.8499,Inn at Morro Bay
279,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
294,Nanakuli,US,82.87,scattered clouds,21.3906,-158.1547,Camp Pālehua
295,Point Pedro,LK,79.12,light rain,9.8167,80.2333,Gtr homes
296,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
297,Sao Filipe,CV,79.45,scattered clouds,14.8961,-24.4956,Hotel Xaguate
299,Puerto Escondido,MX,86.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
300,Icod De Los Vinos,ES,75.2,overcast clouds,28.3724,-16.7119,Hotel El Patio
304,Sibu,MY,75.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
307,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
309,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
310,Honiara,SB,77.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
312,Jibuti,DJ,81.43,clear sky,11.5,42.5,Orchid Main Camp Goubet
316,Galesong,ID,75.22,light rain,-5.3166,119.3661,Sapriadi Appy
318,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
325,Kulhudhuffushi,MV,80.82,overcast clouds,6.6221,73.07,Haajy Guest House 1
327,Wawa,NG,76.84,light rain,9.9022,4.4192,
329,Eyl,SO,77.68,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
332,Mangrol,IN,80.33,few clouds,21.1167,70.1167,Hotel The Royal Honours
335,Kutum,SD,84.09,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
337,Acarau,BR,80.94,scattered clouds,-2.8856,-40.12,castelo pizzaria
338,Nouadhibou,MR,87.78,sand,20.930999999999997,-17.0347,El Medina
341,Vila Do Maio,CV,84.99,few clouds,15.1333,-23.2167,Hotel Marilu
343,Ingham,US,75.9,clear sky,42.6,-84.3833,Sunset Mobile Home Park
347,Port Keats,AU,80.33,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
349,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
351,Tshane,BW,79.56,clear sky,-24.0196,21.8684,
